mode,task_id,status,ts,cs,j,ap_t,aip,token_usage,input_tokens,output_tokens,total_tokens,returncode,stderr_tail
baseline,1,ok,40.0,60.0,50.0,50.0,42.2997,190109,7560,6992,14552,0,
baseline,2,ok,30.0,40.0,35.0,42.5,42.2997,164915,7385,3868,11253,0,
baseline,3,ok,40.0,40.0,40.0,41.6667,42.2997,210653,7826,9717,17543,0,
baseline,4,ok,40.0,40.0,40.0,41.25,42.2997,149631,7788,4191,11979,0,
baseline,5,ok,40.0,40.0,40.0,41.0,42.2997,178334,7158,4784,11942,0,
baseline,6,ok,50.0,40.0,45.0,41.6667,42.2997,193285,7562,10004,17566,0,
baseline,7,ok,50.0,40.0,45.0,42.1429,42.2997,127277,8113,3615,11728,0,
baseline,8,ok,35.0,53.3333,44.1667,42.3958,42.2997,221023,7590,8679,16269,0,
baseline,9,ok,30.0,40.0,35.0,41.5741,42.2997,256018,7524,4701,12225,0,
baseline,10,ok,20.0,50.0,35.0,40.9167,42.2997,144488,7844,4560,12404,0,
baseline,11,ok,40.0,40.0,40.0,40.8333,42.2997,189790,7780,11117,18897,0,
baseline,12,ok,40.0,40.0,40.0,40.7639,42.2997,98228,5036,2194,7230,0,
baseline,13,ok,35.0,53.3333,44.1667,41.0256,42.2997,176474,5836,3848,9684,0,
baseline,14,ok,50.0,40.0,45.0,41.3095,42.2997,142018,7936,4942,12878,0,
baseline,15,ok,50.0,40.0,45.0,41.5556,42.2997,168056,7675,3964,11639,0,
baseline,16,ok,40.0,53.3333,46.6667,41.875,42.2997,181088,7255,5669,12924,0,
baseline,17,ok,50.0,80.0,65.0,43.2353,42.2997,168375,7979,5410,13389,0,
baseline,18,ok,40.0,60.0,50.0,43.6111,42.2997,166614,9502,4194,13696,0,
baseline,19,ok,40.0,40.0,40.0,43.4211,42.2997,165204,7677,3918,11595,0,
baseline,20,ok,40.0,40.0,40.0,43.25,42.2997,180506,7467,7155,14622,0,
llmamem,1,ok,40.0,40.0,40.0,40.0,42.1269,174443,7555,10902,18457,0,
llmamem,2,ok,40.0,40.0,40.0,40.0,42.1269,186578,7273,3686,10959,0,
llmamem,3,ok,40.0,30.0,35.0,38.3333,42.1269,180612,7388,6968,14356,0,
llmamem,4,ok,35.0,40.0,37.5,38.125,42.1269,190014,7460,4520,11980,0,
llmamem,5,ok,40.0,40.0,40.0,38.5,42.1269,218587,6973,9766,16739,0,
llmamem,6,ok,50.0,40.0,45.0,39.5833,42.1269,238028,7444,11302,18746,0,
llmamem,7,ok,50.0,40.0,45.0,40.3571,42.1269,131439,8415,3333,11748,0,
llmamem,8,ok,40.0,60.0,50.0,41.5625,42.1269,168008,7513,9548,17061,0,
llmamem,9,ok,30.0,60.0,45.0,41.9444,42.1269,202351,7969,5091,13060,0,
llmamem,10,ok,40.0,70.0,55.0,43.25,42.1269,150798,7559,4503,12062,0,
llmamem,11,ok,35.0,40.0,37.5,42.7273,42.1269,175136,7572,12256,19828,0,
llmamem,12,ok,50.0,53.3333,51.6667,43.4722,42.1269,173801,7773,6045,13818,0,
llmamem,13,ok,20.0,70.0,45.0,43.5897,42.1269,201026,7371,4504,11875,0,
llmamem,14,ok,50.0,40.0,45.0,43.6905,42.1269,138186,7952,6088,14040,0,
llmamem,15,ok,40.0,40.0,40.0,43.4444,42.1269,160558,7430,4414,11844,0,
llmamem,16,ok,50.0,80.0,65.0,44.7917,42.1269,135281,7236,6015,13251,0,
llmamem,17,run_failed,-1.0,-1.0,-1.0,44.7917,42.1269,-1,2516,1051,3567,1,"inate
    summary_from_planner = self.planner.summarize_output(
  File ""/home/jason/MAS_lifelong_learning/marble/engine/engine_planner.py"", line 421, in summarize_output
    response = model_prompting(
  File ""<@beartype(marble.llms.model_prompting.model_prompting) at 0x7f257708a0e0>"", line 262, in model_prompting
  File ""/home/jason/MAS_lifelong_learning/marble/llms/error_handler.py"", line 50, in wrapper
    raise RuntimeError(
RuntimeError: Failed to execute 'model_prompting' after 5 retries.
"
llmamem,18,run_failed,-1.0,-1.0,-1.0,44.7917,42.1269,-1,914,0,914,1,"n graph_coordinate
    summary = self.planner.summarize_output(
  File ""/home/jason/MAS_lifelong_learning/marble/engine/engine_planner.py"", line 421, in summarize_output
    response = model_prompting(
  File ""<@beartype(marble.llms.model_prompting.model_prompting) at 0x7f1d7337e0e0>"", line 262, in model_prompting
  File ""/home/jason/MAS_lifelong_learning/marble/llms/error_handler.py"", line 50, in wrapper
    raise RuntimeError(
RuntimeError: Failed to execute 'model_prompting' after 5 retries.
"
llmamem,19,run_failed,-1.0,-1.0,-1.0,44.7917,42.1269,-1,615,0,615,1,"n graph_coordinate
    summary = self.planner.summarize_output(
  File ""/home/jason/MAS_lifelong_learning/marble/engine/engine_planner.py"", line 421, in summarize_output
    response = model_prompting(
  File ""<@beartype(marble.llms.model_prompting.model_prompting) at 0x7f99c5f009d0>"", line 262, in model_prompting
  File ""/home/jason/MAS_lifelong_learning/marble/llms/error_handler.py"", line 50, in wrapper
    raise RuntimeError(
RuntimeError: Failed to execute 'model_prompting' after 5 retries.
"
llmamem,20,run_failed,-1.0,-1.0,-1.0,44.7917,42.1269,-1,550,0,550,1,"n graph_coordinate
    summary = self.planner.summarize_output(
  File ""/home/jason/MAS_lifelong_learning/marble/engine/engine_planner.py"", line 421, in summarize_output
    response = model_prompting(
  File ""<@beartype(marble.llms.model_prompting.model_prompting) at 0x7f497e45a0e0>"", line 262, in model_prompting
  File ""/home/jason/MAS_lifelong_learning/marble/llms/error_handler.py"", line 50, in wrapper
    raise RuntimeError(
RuntimeError: Failed to execute 'model_prompting' after 5 retries.
"
