mode,task_id,status,ts,cs,j,ap_t,aip,returncode,stderr_tail
baseline,1,ok,45.0,-1.0,45.0,45.0,45.5609,0,
baseline,2,ok,45.0,-1.0,45.0,45.0,45.5609,0,
baseline,3,ok,40.0,-1.0,40.0,43.3333,45.5609,0,
baseline,4,ok,45.0,-1.0,45.0,43.75,45.5609,0,
baseline,5,ok,45.0,-1.0,45.0,44.0,45.5609,0,
baseline,6,ok,45.0,-1.0,45.0,44.1667,45.5609,0,
baseline,7,ok,50.0,-1.0,50.0,45.0,45.5609,0,
baseline,8,ok,45.0,-1.0,45.0,45.0,45.5609,0,
baseline,9,ok,50.0,-1.0,50.0,45.5556,45.5609,0,
baseline,10,ok,40.0,-1.0,40.0,45.0,45.5609,0,
baseline,11,ok,40.0,-1.0,40.0,44.5455,45.5609,0,
baseline,12,ok,40.0,-1.0,40.0,44.1667,45.5609,0,
baseline,13,ok,50.0,-1.0,50.0,44.6154,45.5609,0,
baseline,14,ok,55.0,-1.0,55.0,45.3571,45.5609,0,
baseline,15,ok,50.0,-1.0,50.0,45.6667,45.5609,0,
baseline,16,ok,40.0,-1.0,40.0,45.3125,45.5609,0,
baseline,17,ok,45.0,-1.0,45.0,45.2941,45.5609,0,
baseline,18,ok,45.0,-1.0,45.0,45.2778,45.5609,0,
baseline,19,ok,50.0,-1.0,50.0,45.5263,45.5609,0,
baseline,20,ok,45.0,-1.0,45.0,45.5,45.5609,0,
baseline,21,ok,45.0,-1.0,45.0,45.4762,45.5609,0,
baseline,22,ok,45.0,-1.0,45.0,45.4545,45.5609,0,
baseline,23,ok,35.0,-1.0,35.0,45.0,45.5609,0,
baseline,24,ok,60.0,-1.0,60.0,45.625,45.5609,0,
baseline,25,ok,55.0,-1.0,55.0,46.0,45.5609,0,
baseline,26,ok,45.0,-1.0,45.0,45.9615,45.5609,0,
baseline,27,ok,45.0,-1.0,45.0,45.9259,45.5609,0,
baseline,28,ok,50.0,-1.0,50.0,46.0714,45.5609,0,
baseline,29,ok,50.0,-1.0,50.0,46.2069,45.5609,0,
baseline,30,ok,45.0,-1.0,45.0,46.1667,45.5609,0,
baseline,31,ok,45.0,-1.0,45.0,46.129,45.5609,0,
baseline,32,ok,40.0,-1.0,40.0,45.9375,45.5609,0,
baseline,33,ok,45.0,-1.0,45.0,45.9091,45.5609,0,
baseline,34,ok,50.0,-1.0,50.0,46.0294,45.5609,0,
baseline,35,ok,45.0,-1.0,45.0,46.0,45.5609,0,
baseline,36,ok,50.0,-1.0,50.0,46.1111,45.5609,0,
baseline,37,ok,45.0,-1.0,45.0,46.0811,45.5609,0,
baseline,38,ok,45.0,-1.0,45.0,46.0526,45.5609,0,
baseline,39,ok,50.0,-1.0,50.0,46.1538,45.5609,0,
baseline,40,ok,45.0,-1.0,45.0,46.125,45.5609,0,
baseline,41,ok,45.0,-1.0,45.0,46.0976,45.5609,0,
baseline,42,ok,45.0,-1.0,45.0,46.0714,45.5609,0,
baseline,43,ok,50.0,-1.0,50.0,46.1628,45.5609,0,
baseline,44,ok,45.0,-1.0,45.0,46.1364,45.5609,0,
baseline,45,ok,45.0,-1.0,45.0,46.1111,45.5609,0,
baseline,46,ok,60.0,-1.0,60.0,46.413,45.5609,0,
baseline,47,ok,45.0,-1.0,45.0,46.383,45.5609,0,
baseline,48,ok,50.0,-1.0,50.0,46.4583,45.5609,0,
baseline,49,ok,45.0,-1.0,45.0,46.4286,45.5609,0,
baseline,50,ok,40.0,-1.0,40.0,46.3,45.5609,0,
llmamem,1,ok,40.0,-1.0,40.0,40.0,44.8485,0,
llmamem,2,ok,45.0,-1.0,45.0,42.5,44.8485,0,
llmamem,3,ok,45.0,-1.0,45.0,43.3333,44.8485,0,
llmamem,4,ok,20.0,-1.0,20.0,37.5,44.8485,0,
llmamem,5,ok,45.0,-1.0,45.0,39.0,44.8485,0,
llmamem,6,ok,50.0,-1.0,50.0,40.8333,44.8485,0,
llmamem,7,ok,50.0,-1.0,50.0,42.1429,44.8485,0,
llmamem,8,ok,45.0,-1.0,45.0,42.5,44.8485,0,
llmamem,9,ok,60.0,-1.0,60.0,44.4444,44.8485,0,
llmamem,10,ok,45.0,-1.0,45.0,44.5,44.8485,0,
llmamem,11,ok,40.0,-1.0,40.0,44.0909,44.8485,0,
llmamem,12,ok,40.0,-1.0,40.0,43.75,44.8485,0,
llmamem,13,ok,60.0,-1.0,60.0,45.0,44.8485,0,
llmamem,14,ok,50.0,-1.0,50.0,45.3571,44.8485,0,
llmamem,15,ok,45.0,-1.0,45.0,45.3333,44.8485,0,
llmamem,16,ok,45.0,-1.0,45.0,45.3125,44.8485,0,
llmamem,17,ok,50.0,-1.0,50.0,45.5882,44.8485,0,
llmamem,18,ok,45.0,-1.0,45.0,45.5556,44.8485,0,
llmamem,19,ok,45.0,-1.0,45.0,45.5263,44.8485,0,
llmamem,20,ok,45.0,-1.0,45.0,45.5,44.8485,0,
llmamem,21,ok,45.0,-1.0,45.0,45.4762,44.8485,0,
llmamem,22,ok,45.0,-1.0,45.0,45.4545,44.8485,0,
llmamem,23,ok,45.0,-1.0,45.0,45.4348,44.8485,0,
llmamem,24,ok,50.0,-1.0,50.0,45.625,44.8485,0,
llmamem,25,ok,50.0,-1.0,50.0,45.8,44.8485,0,
llmamem,26,ok,45.0,-1.0,45.0,45.7692,44.8485,0,
llmamem,27,ok,45.0,-1.0,45.0,45.7407,44.8485,0,
llmamem,28,ok,45.0,-1.0,45.0,45.7143,44.8485,0,
llmamem,29,ok,40.0,-1.0,40.0,45.5172,44.8485,0,
llmamem,30,ok,45.0,-1.0,45.0,45.5,44.8485,0,
llmamem,31,ok,45.0,-1.0,45.0,45.4839,44.8485,0,
llmamem,32,ok,45.0,-1.0,45.0,45.4688,44.8485,0,
llmamem,33,ok,45.0,-1.0,45.0,45.4545,44.8485,0,
llmamem,34,ok,60.0,-1.0,60.0,45.8824,44.8485,0,
llmamem,35,ok,50.0,-1.0,50.0,46.0,44.8485,0,
llmamem,36,ok,60.0,-1.0,60.0,46.3889,44.8485,0,
llmamem,37,ok,45.0,-1.0,45.0,46.3514,44.8485,0,
llmamem,38,ok,50.0,-1.0,50.0,46.4474,44.8485,0,
llmamem,39,ok,25.0,-1.0,25.0,45.8974,44.8485,0,
llmamem,40,ok,40.0,-1.0,40.0,45.75,44.8485,0,
llmamem,41,ok,45.0,-1.0,45.0,45.7317,44.8485,0,
llmamem,42,ok,45.0,-1.0,45.0,45.7143,44.8485,0,
llmamem,43,ok,45.0,-1.0,45.0,45.6977,44.8485,0,
llmamem,44,ok,45.0,-1.0,45.0,45.6818,44.8485,0,
llmamem,45,ok,45.0,-1.0,45.0,45.6667,44.8485,0,
llmamem,46,ok,50.0,-1.0,50.0,45.7609,44.8485,0,
llmamem,47,ok,60.0,-1.0,60.0,46.0638,44.8485,0,
llmamem,48,ok,60.0,-1.0,60.0,46.3542,44.8485,0,
llmamem,49,ok,50.0,-1.0,50.0,46.4286,44.8485,0,
llmamem,50,ok,45.0,-1.0,45.0,46.4,44.8485,0,
