mode,task_id,status,ts,cs,j,ap_t,aip,returncode,stderr_tail
baseline,1,ok,66.6667,-1.0,66.6667,66.6667,67.3242,0,
baseline,2,ok,66.6667,-1.0,66.6667,66.6667,67.3242,0,
baseline,3,ok,66.6667,-1.0,66.6667,66.6667,67.3242,0,
baseline,4,ok,73.3333,-1.0,73.3333,68.3333,67.3242,0,
baseline,5,ok,66.6667,-1.0,66.6667,68.0,67.3242,0,
baseline,6,ok,66.6667,-1.0,66.6667,67.7778,67.3242,0,
baseline,7,ok,66.6667,-1.0,66.6667,67.619,67.3242,0,
baseline,8,ok,66.6667,-1.0,66.6667,67.5,67.3242,0,
baseline,9,ok,66.6667,-1.0,66.6667,67.4074,67.3242,0,
baseline,10,ok,66.6667,-1.0,66.6667,67.3333,67.3242,0,
baseline,11,ok,66.6667,-1.0,66.6667,67.2727,67.3242,0,
baseline,12,ok,66.6667,-1.0,66.6667,67.2222,67.3242,0,
baseline,13,ok,66.6667,-1.0,66.6667,67.1795,67.3242,0,
baseline,14,ok,66.6667,-1.0,66.6667,67.1429,67.3242,0,
baseline,15,ok,66.6667,-1.0,66.6667,67.1111,67.3242,0,
baseline,16,ok,73.3333,-1.0,73.3333,67.5,67.3242,0,
baseline,17,ok,66.6667,-1.0,66.6667,67.451,67.3242,0,
baseline,18,ok,66.6667,-1.0,66.6667,67.4074,67.3242,0,
baseline,19,ok,66.6667,-1.0,66.6667,67.3684,67.3242,0,
baseline,20,ok,66.6667,-1.0,66.6667,67.3333,67.3242,0,
baseline,21,ok,66.6667,-1.0,66.6667,67.3016,67.3242,0,
baseline,22,ok,66.6667,-1.0,66.6667,67.2727,67.3242,0,
baseline,23,ok,66.6667,-1.0,66.6667,67.2464,67.3242,0,
baseline,24,ok,66.6667,-1.0,66.6667,67.2222,67.3242,0,
baseline,25,ok,66.6667,-1.0,66.6667,67.2,67.3242,0,
baseline,26,ok,66.6667,-1.0,66.6667,67.1795,67.3242,0,
baseline,27,ok,66.6667,-1.0,66.6667,67.1605,67.3242,0,
baseline,28,ok,66.6667,-1.0,66.6667,67.1429,67.3242,0,
baseline,29,ok,66.6667,-1.0,66.6667,67.1264,67.3242,0,
baseline,30,ok,66.6667,-1.0,66.6667,67.1111,67.3242,0,
baseline,31,ok,66.6667,-1.0,66.6667,67.0968,67.3242,0,
