mode,task_id,status,ts,cs,j,ap_t,aip,returncode,stderr_tail
llmamem,1,ok,45.0,-1.0,45.0,45.0,46.7256,0,
llmamem,2,ok,45.0,-1.0,45.0,45.0,46.7256,0,
llmamem,3,ok,45.0,-1.0,45.0,45.0,46.7256,0,
llmamem,4,ok,45.0,-1.0,45.0,45.0,46.7256,0,
llmamem,5,ok,45.0,-1.0,45.0,45.0,46.7256,0,
llmamem,6,ok,50.0,-1.0,50.0,45.8333,46.7256,0,
llmamem,7,ok,50.0,-1.0,50.0,46.4286,46.7256,0,
llmamem,8,ok,45.0,-1.0,45.0,46.25,46.7256,0,
llmamem,9,ok,60.0,-1.0,60.0,47.7778,46.7256,0,
llmamem,10,ok,50.0,-1.0,50.0,48.0,46.7256,0,
llmamem,11,ok,40.0,-1.0,40.0,47.2727,46.7256,0,
llmamem,12,ok,45.0,-1.0,45.0,47.0833,46.7256,0,
llmamem,13,ok,60.0,-1.0,60.0,48.0769,46.7256,0,
llmamem,14,ok,45.0,-1.0,45.0,47.8571,46.7256,0,
llmamem,15,ok,45.0,-1.0,45.0,47.6667,46.7256,0,
llmamem,16,ok,45.0,-1.0,45.0,47.5,46.7256,0,
llmamem,17,ok,50.0,-1.0,50.0,47.6471,46.7256,0,
llmamem,18,ok,45.0,-1.0,45.0,47.5,46.7256,0,
llmamem,19,ok,45.0,-1.0,45.0,47.3684,46.7256,0,
llmamem,20,ok,45.0,-1.0,45.0,47.25,46.7256,0,
