mode,task_id,status,ts,cs,j,ap_t,aip,returncode,stderr_tail
baseline,1,ok,65.0,-1.0,65.0,65.0,43.3387,0,
baseline,2,ok,20.0,-1.0,20.0,42.5,43.3387,0,
baseline,3,ok,40.0,-1.0,40.0,41.6667,43.3387,0,
baseline,4,ok,20.0,-1.0,20.0,36.25,43.3387,0,
baseline,5,ok,40.0,-1.0,40.0,37.0,43.3387,0,
baseline,6,ok,65.0,-1.0,65.0,41.6667,43.3387,0,
baseline,7,ok,55.0,-1.0,55.0,43.5714,43.3387,0,
baseline,8,ok,40.0,-1.0,40.0,43.125,43.3387,0,
baseline,9,ok,55.0,-1.0,55.0,44.4444,43.3387,0,
baseline,10,ok,20.0,-1.0,20.0,42.0,43.3387,0,
baseline,11,ok,35.0,-1.0,35.0,41.3636,43.3387,0,
baseline,12,ok,55.0,-1.0,55.0,42.5,43.3387,0,
baseline,13,ok,20.0,-1.0,20.0,40.7692,43.3387,0,
baseline,14,ok,55.0,-1.0,55.0,41.7857,43.3387,0,
baseline,15,ok,65.0,-1.0,65.0,43.3333,43.3387,0,
baseline,16,ok,45.0,-1.0,45.0,43.4375,43.3387,0,
baseline,17,ok,65.0,-1.0,65.0,44.7059,43.3387,0,
baseline,18,ok,40.0,-1.0,40.0,44.4444,43.3387,0,
baseline,19,ok,40.0,-1.0,40.0,44.2105,43.3387,0,
baseline,20,ok,20.0,-1.0,20.0,43.0,43.3387,0,
llmamem,1,ok,55.0,-1.0,55.0,55.0,46.5097,0,
llmamem,2,ok,40.0,-1.0,40.0,47.5,46.5097,0,
llmamem,3,ok,20.0,-1.0,20.0,38.3333,46.5097,0,
llmamem,4,ok,45.0,-1.0,45.0,40.0,46.5097,0,
llmamem,5,ok,50.0,-1.0,50.0,42.0,46.5097,0,
llmamem,6,ok,70.0,-1.0,70.0,46.6667,46.5097,0,
llmamem,7,ok,55.0,-1.0,55.0,47.8571,46.5097,0,
llmamem,8,ok,55.0,-1.0,55.0,48.75,46.5097,0,
llmamem,9,ok,65.0,-1.0,65.0,50.5556,46.5097,0,
llmamem,10,ok,40.0,-1.0,40.0,49.5,46.5097,0,
llmamem,11,ok,35.0,-1.0,35.0,48.1818,46.5097,0,
llmamem,12,ok,55.0,-1.0,55.0,48.75,46.5097,0,
llmamem,13,ok,20.0,-1.0,20.0,46.5385,46.5097,0,
llmamem,14,ok,20.0,-1.0,20.0,44.6429,46.5097,0,
llmamem,15,ok,55.0,-1.0,55.0,45.3333,46.5097,0,
llmamem,16,ok,55.0,-1.0,55.0,45.9375,46.5097,0,
llmamem,17,ok,55.0,-1.0,55.0,46.4706,46.5097,0,
llmamem,18,ok,40.0,-1.0,40.0,46.1111,46.5097,0,
llmamem,19,ok,50.0,-1.0,50.0,46.3158,46.5097,0,
llmamem,20,ok,35.0,-1.0,35.0,45.75,46.5097,0,
